cycle,money_stock
0,576188734.7160
12,576314472.4968
24,576437082.7230
36,576521974.7260
48,576588985.1698
60,576640510.6629
72,576680728.3742
84,576708103.6072
96,576730596.5417
108,576753357.5324
120,576770938.9905
132,576783565.8580
144,576795098.0934
156,576799134.6392
168,576805781.0721
180,576805625.7170
192,576805177.5830
204,576806061.6024
216,576812684.1331
228,576818232.6952
240,576818848.8216
252,576815397.7404
264,576804422.0847
276,576788068.4252
288,576787182.0005
300,576793611.9218
312,576802622.7235
324,576809308.0388
336,576810893.4974
348,576810929.6762
360,576808435.6214
372,576808238.5819
384,576801944.6876
396,576793104.3155
408,576794020.1555
420,576799087.3757
432,576802563.8352
444,576797052.0066
456,576789297.4613
468,576796609.3635
480,576797952.5398
492,576805131.7292
504,576809432.3462
516,576813293.7152
528,576814909.6484
540,576817117.0930
552,576818884.1964
564,576817605.1486
576,576807877.3257
588,576795741.2018
600,576802819.9921
612,576802439.8487
624,576802916.5873
636,576801234.5476
648,576807353.5719
660,576811346.2554
672,576812025.7589
684,576811406.5510
696,576813719.6608
708,576813783.2684
720,576801255.9971
732,576801029.5345
744,576804332.7509
756,576806163.4174
768,576809438.1982
780,576808016.1819
792,576807022.2864
804,576805278.3546
816,576805399.8361
828,576805445.5070
840,576814174.2638
852,576818529.0728
864,576817630.1685
876,576820255.6260
888,576818918.5958
900,576822624.7490
912,576826751.2999
924,576824496.0539
936,576820555.1196
948,576816162.5233
960,576816081.8185
972,576813006.3288
984,576806216.8212
996,576796665.6571
1008,576798321.4844
1020,576806023.1676
1032,576805018.3331
1044,576797905.8121
1056,576795060.6987
1068,576796115.3825
1080,576798539.0833
1092,576801541.9855
1104,576806585.5272
1116,576808777.0926
1128,576809759.7125
1140,576806830.6292
1152,576800400.9471
1164,576801105.1000
1176,576800427.4915
1188,576805433.9549
1200,576808252.1200
