cycle,wealth_gini
0,0.6099
12,0.5625
24,0.5177
36,0.4897
48,0.4697
60,0.4578
72,0.4505
84,0.4421
96,0.4365
108,0.4316
120,0.4289
132,0.4285
144,0.4281
156,0.4281
168,0.4263
180,0.4253
192,0.4272
204,0.4276
216,0.4273
228,0.4294
240,0.4261
252,0.4259
264,0.4282
276,0.4281
288,0.428
300,0.4255
312,0.4245
324,0.4234
336,0.4226
348,0.4205
360,0.4206
372,0.4205
384,0.4223
396,0.4233
408,0.4238
420,0.4226
432,0.4233
444,0.4248
456,0.4251
468,0.4254
480,0.4257
492,0.424
504,0.4241
516,0.424
528,0.424
540,0.4244
552,0.4267
564,0.4305
576,0.429
588,0.4261
600,0.423
612,0.4262
624,0.4283
636,0.4257
648,0.4238
660,0.4201
672,0.4222
684,0.4225
696,0.4262
708,0.4273
720,0.4261
732,0.4221
744,0.4235
756,0.4235
768,0.4244
780,0.4267
792,0.4254
804,0.4267
816,0.4246
828,0.4256
840,0.4246
852,0.4256
864,0.4288
876,0.4254
888,0.4253
900,0.4255
912,0.4223
924,0.4219
936,0.4236
948,0.4238
960,0.4234
972,0.4223
984,0.4232
996,0.4234
1008,0.4235
1020,0.4242
1032,0.4242
1044,0.4253
1056,0.4242
1068,0.4254
1080,0.425
1092,0.4214
1104,0.4223
1116,0.4254
1128,0.4266
1140,0.4262
1152,0.4263
1164,0.4238
1176,0.4257
1188,0.4257
1200,0.4261
